[2021-12-23 17:01:19,184]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 17:01:19,184]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> hello
[2021-12-23 17:19:30,243]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 17:19:30,243]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 17:19:30,244]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 17:19:30,244]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 17:19:39,865]-[baiduapi.py]-[get_driving_direction]-[169]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: list indices must be integers or slices, not str
[2021-12-23 17:19:39,865]-[baiduapi.py]-[get_driving_direction]-[169]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: list indices must be integers or slices, not str
[2021-12-23 17:20:36,190]-[CasSystemScrapy.py]-[insert_CasTravel]-[391]-12s: [ERROR]-8s>> 将派车单号GA-202112-4新增转化为sql出错：Unexpected Error: list index out of range
[2021-12-23 17:20:36,190]-[CasSystemScrapy.py]-[insert_CasTravel]-[391]-12s: [ERROR]-8s>> 将派车单号GA-202112-4新增转化为sql出错：Unexpected Error: list index out of range
[2021-12-23 18:06:47,304]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:06:47,304]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:06:47,305]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:06:47,305]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:11:59,814]-[baiduapi.py]-[get_driving_direction]-[169]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: list indices must be integers or slices, not str
[2021-12-23 18:11:59,814]-[baiduapi.py]-[get_driving_direction]-[169]-12s: [ERROR]-8s>> 调用百度api获取地点信息出错！：Unexpected Error: list indices must be integers or slices, not str
[2021-12-23 18:12:00,586]-[CasSystemScrapy.py]-[insert_CasTravel]-[391]-12s: [ERROR]-8s>> 将派车单号GA-202112-2新增转化为sql出错：Unexpected Error: list index out of range
[2021-12-23 18:12:00,586]-[CasSystemScrapy.py]-[insert_CasTravel]-[391]-12s: [ERROR]-8s>> 将派车单号GA-202112-2新增转化为sql出错：Unexpected Error: list index out of range
[2021-12-23 18:12:02,905]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:12:02,905]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:12:21,584]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:12:21,584]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:12:21,585]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:12:21,585]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:15:05,416]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:15:05,416]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:15:18,864]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:15:18,864]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:15:18,865]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:15:18,865]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:15:19,970]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:15:19,970]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:15:46,483]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:15:46,483]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:15:46,483]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:15:46,483]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:15:47,857]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:15:47,857]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:16:09,866]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:16:09,866]-[CasSystemScrapy.py]-[<module>]-[646]-12s: [INFO]-8s>> ces
[2021-12-23 18:16:09,867]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:16:09,867]-[CasSystemScrapy.py]-[<module>]-[647]-12s: [INFO]-8s>> hello
[2021-12-23 18:16:11,147]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
[2021-12-23 18:16:11,147]-[CasSystemScrapy.py]-[get_apply_data]-[629]-12s: [ERROR]-8s>> 解析明细信息出错，错误单号：GA-202111-1：Unexpected Error: list index out of range
